model_type	feature_set	outer_repeat	outer_fold	outer_split	n_train	n_test	n_train_low	n_train_high	n_test_low	n_test_high	n_input_features	n_after_variance	n_selected_features	best_k	best_c	best_inner_balanced_accuracy	fit_seconds	accuracy	balanced_accuracy	roc_auc_low	precision_low	recall_low	f1_low	mcc	true_low_pred_low	true_low_pred_high	true_high_pred_low	true_high_pred_high
logistic_regression	residue_ligand	4	2	17	66	17	21	45	5	12	21	21	4	4	0.1	0.7488888888888889	1.236323862001882	0.5294117647058824	0.43333333333333335	0.26666666666666666	0.2	0.2	0.2	-0.13333333333333333	1	4	4	8
logistic_regression	residue_ligand	4	3	18	66	17	21	45	5	12	21	21	21	all	0.1	0.6361111111111111	1.2583695409994107	0.5294117647058824	0.55	0.6666666666666666	0.3333333333333333	0.6	0.42857142857142855	0.09128709291752769	3	2	6	6
logistic_regression	residue_ligand	4	4	19	67	16	21	46	5	11	21	21	8	8	0.01	0.6583333333333334	1.7325185049994616	0.625	0.6181818181818182	0.7090909090909091	0.42857142857142855	0.6	0.5	0.22084711628963774	3	2	4	7
logistic_regression	residue_ligand	4	5	20	67	16	21	46	5	11	21	21	4	4	0.01	0.6933333333333334	1.2380582639962086	0.4375	0.5363636363636364	0.5272727272727273	0.3333333333333333	0.8	0.47058823529411764	0.0778498944161523	4	1	8	3
logistic_regression	residue_ligand	5	1	21	66	17	20	46	6	11	21	21	8	8	1.0	0.7366666666666667	1.2540098120007315	0.47058823529411764	0.4772727272727273	0.36363636363636365	0.3333333333333333	0.5	0.4	-0.04351941398892446	3	3	6	5
logistic_regression	residue_ligand	5	2	22	66	17	21	45	5	12	21	21	8	8	0.01	0.6044444444444445	1.2421043979993556	0.5882352941176471	0.65	0.8	0.4	0.8	0.5333333333333333	0.27774602993176545	4	1	6	6
logistic_regression	residue_ligand	5	3	23	66	17	21	45	5	12	21	21	4	4	1.0	0.7016666666666665	2.0105310170038138	0.5294117647058824	0.43333333333333335	0.3833333333333333	0.2	0.2	0.2	-0.13333333333333333	1	4	4	8
logistic_regression	residue_ligand	5	4	24	67	16	21	46	5	11	21	21	8	8	1.0	0.6216666666666667	1.2379396320029628	0.5	0.4727272727272727	0.5636363636363637	0.2857142857142857	0.4	0.3333333333333333	-0.050964719143762556	2	3	5	6
logistic_regression	residue_ligand	5	5	25	67	16	21	46	5	11	21	21	12	12	0.01	0.6305555555555554	1.2470329830030096	0.5625	0.6818181818181819	0.8545454545454545	0.4166666666666667	1.0	0.5882352941176471	0.3892494720807615	5	0	7	4
logistic_regression	residue_cofactor	1	1	1	66	17	20	46	6	11	83	77	20	20	1.0	0.5494444444444444	1.7139841319949483	0.6470588235294118	0.5757575757575758	0.7727272727272727	0.5	0.3333333333333333	0.4	0.1706971854997297	2	4	2	9
logistic_regression	residue_cofactor	1	2	2	66	17	21	45	5	12	83	77	10	10	10.0	0.5583333333333333	1.6506923160050064	0.4117647058823529	0.4666666666666667	0.6	0.2727272727272727	0.6	0.375	-0.06356417261637282	3	2	8	4
logistic_regression	residue_cofactor	1	3	3	66	17	21	45	5	12	83	77	40	40	0.01	0.6822222222222221	1.7153339169963147	0.47058823529411764	0.45	0.44999999999999996	0.25	0.4	0.3076923076923077	-0.09128709291752769	2	3	6	6
logistic_regression	residue_cofactor	1	4	4	67	16	21	46	5	11	83	77	20	20	0.1	0.7194444444444443	1.6616499009978725	0.6875	0.6636363636363636	0.5272727272727273	0.5	0.6	0.5454545454545454	0.3133397807202561	3	2	3	8
logistic_regression	residue_cofactor	1	5	5	67	16	21	46	5	11	83	77	77	all	100.0	0.5494444444444445	1.67747228799999	0.5625	0.5181818181818182	0.5636363636363636	0.3333333333333333	0.4	0.36363636363636365	0.034815531191139566	2	3	4	7
logistic_regression	residue_cofactor	2	1	6	66	17	20	46	6	11	83	77	20	20	0.01	0.7083333333333333	1.6734630360006122	0.7058823529411765	0.696969696969697	0.6212121212121211	0.5714285714285714	0.6666666666666666	0.6153846153846154	0.3825184261187248	4	2	3	8
logistic_regression	residue_cofactor	2	2	7	66	17	21	45	5	12	83	77	5	5	0.01	0.6722222222222222	1.679534645001695	0.5882352941176471	0.65	0.65	0.4	0.8	0.5333333333333333	0.27774602993176545	4	1	6	6
logistic_regression	residue_cofactor	2	3	8	66	17	21	45	5	12	83	77	10	10	10.0	0.6122222222222222	1.7255379400012316	0.7058823529411765	0.7333333333333334	0.7333333333333334	0.5	0.8	0.6153846153846154	0.42600643361512924	4	1	4	8
logistic_regression	residue_cofactor	2	4	9	67	16	21	46	5	11	83	77	40	40	0.01	0.6905555555555556	1.7241849019992515	0.4375	0.42727272727272725	0.5454545454545454	0.25	0.4	0.3076923076923077	-0.13483997249264842	2	3	6	5
logistic_regression	residue_cofactor	2	5	10	67	16	21	46	5	11	83	77	5	5	0.1	0.5427777777777777	1.7124870190018555	0.6875	0.7181818181818183	0.7636363636363637	0.5	0.8	0.6153846153846154	0.40451991747794525	4	1	4	7
logistic_regression	residue_cofactor	3	1	11	66	17	20	46	6	11	83	77	40	40	0.01	0.6522222222222223	1.685616372997174	0.6470588235294118	0.6515151515151515	0.5303030303030303	0.5	0.6666666666666666	0.5714285714285714	0.29012942659282975	4	2	4	7
logistic_regression	residue_cofactor	3	2	12	66	17	21	45	5	12	83	77	5	5	0.01	0.7744444444444445	1.7257462229972589	0.47058823529411764	0.5083333333333333	0.5833333333333334	0.3	0.6	0.4	0.015430334996209192	3	2	7	5
logistic_regression	residue_cofactor	3	3	13	66	17	21	45	5	12	83	77	77	all	0.01	0.6738888888888888	1.6540591570010292	0.6470588235294118	0.6333333333333333	0.6333333333333333	0.42857142857142855	0.6	0.5	0.24688535993934707	3	2	4	8
logistic_regression	residue_cofactor	3	4	14	67	16	21	46	5	11	83	77	20	20	0.1	0.6127777777777778	1.6967313459972502	0.8125	0.8636363636363636	0.8363636363636364	0.625	1.0	0.7692307692307693	0.674199862463242	5	0	3	8
logistic_regression	residue_cofactor	3	5	15	67	16	21	46	5	11	83	77	5	5	0.01	0.6655555555555555	1.731858043000102	0.625	0.6727272727272727	0.6181818181818182	0.4444444444444444	0.8	0.5714285714285714	0.32277655457716287	4	1	5	6
logistic_regression	residue_cofactor	4	1	16	66	17	20	46	6	11	83	77	10	10	0.01	0.5961111111111111	1.6694894539978122	0.5294117647058824	0.44696969696969696	0.5909090909090909	0.25	0.16666666666666666	0.2	-0.1194880298498108	1	5	3	8
logistic_regression	residue_cofactor	4	2	17	66	17	21	45	5	12	83	77	20	20	10.0	0.6316666666666666	1.7168469999960507	0.5294117647058824	0.4916666666666667	0.5333333333333334	0.2857142857142857	0.4	0.3333333333333333	-0.015430334996209192	2	3	5	7
logistic_regression	residue_cofactor	4	3	18	66	17	21	45	5	12	83	77	10	10	0.01	0.7494444444444446	1.6601268079975853	0.5294117647058824	0.6083333333333334	0.7166666666666668	0.36363636363636365	0.8	0.5	0.20658356100321165	4	1	7	5
logistic_regression	residue_cofactor	4	4	19	67	16	21	46	5	11	83	77	20	20	1.0	0.6683333333333332	1.6748728240054334	0.4375	0.42727272727272725	0.49090909090909096	0.25	0.4	0.3076923076923077	-0.13483997249264842	2	3	6	5
