source_type	feature_set	display_label	fold_record	balanced_accuracy
logistic_regression_outer_fold	combined_all	Combined	6.0	0.7348484848484849
logistic_regression_outer_fold	combined_all	Combined	7.0	0.7583333333333333
logistic_regression_outer_fold	combined_all	Combined	8.0	0.8583333333333334
logistic_regression_outer_fold	combined_all	Combined	9.0	0.8090909090909091
logistic_regression_outer_fold	combined_all	Combined	10.0	0.4727272727272727
logistic_regression_outer_fold	combined_all	Combined	11.0	0.6590909090909092
logistic_regression_outer_fold	combined_all	Combined	12.0	0.6333333333333333
logistic_regression_outer_fold	combined_all	Combined	13.0	0.6916666666666667
logistic_regression_outer_fold	combined_all	Combined	14.0	0.5272727272727272
logistic_regression_outer_fold	combined_all	Combined	15.0	0.5181818181818182
logistic_regression_outer_fold	combined_all	Combined	16.0	0.7348484848484849
logistic_regression_outer_fold	combined_all	Combined	17.0	0.4333333333333333
logistic_regression_outer_fold	combined_all	Combined	18.0	0.4333333333333333
logistic_regression_outer_fold	combined_all	Combined	19.0	0.6636363636363636
logistic_regression_outer_fold	combined_all	Combined	20.0	0.5636363636363637
logistic_regression_outer_fold	combined_all	Combined	21.0	0.6515151515151515
logistic_regression_outer_fold	combined_all	Combined	22.0	0.8166666666666667
logistic_regression_outer_fold	combined_all	Combined	23.0	0.8166666666666667
logistic_regression_outer_fold	combined_all	Combined	24.0	0.6090909090909091
logistic_regression_outer_fold	combined_all	Combined	25.0	0.6090909090909091
dummy_reference_mean	dummy_prior	Dummy prior		0.5
