feature_set	display_label	permutation_id	null_mean_balanced_accuracy	observed_mean_balanced_accuracy	n_null_ge_observed	permutation_p_value
residue_ligand	Residue–ligand	1	0.5418787878787878	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	2	0.506969696969697	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	3	0.5034848484848484	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	4	0.5352121212121213	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	5	0.5175757575757576	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	6	0.5366363636363637	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	7	0.4632121212121212	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	8	0.4541212121212121	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	9	0.5131818181818183	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	10	0.4480303030303031	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	11	0.4653636363636363	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	12	0.4402424242424242	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	13	0.5367272727272728	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	14	0.5896363636363636	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	15	0.5163939393939394	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	16	0.5742424242424243	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	17	0.5491515151515152	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	18	0.6233030303030302	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	19	0.4123030303030303	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	20	0.5204848484848484	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	21	0.4329090909090909	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	22	0.5208181818181817	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	23	0.445	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	24	0.518939393939394	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	25	0.5784242424242425	0.5828787878787879	3	0.1290322580645161
