permutation_id	feature_set	n_outer_folds	mean_balanced_accuracy	std_balanced_accuracy	mean_roc_auc_low	std_roc_auc_low	mean_mcc	std_mcc	elapsed_seconds
1	residue_ligand	25	0.5418787878787878	0.10650599124368028	0.5444848484848486	0.11968648464497897	0.07596862060553479	0.21432777154203317	34.62942012099984
1	residue_cofactor	25	0.5043939393939394	0.1323038336848691	0.5166666666666667	0.1514336902226029	0.011060032642546083	0.24935901594420515	42.382917168000404
1	residue_residue	25	0.41375757575757577	0.12806628655769753	0.3741818181818182	0.15981765225164404	-0.16839884552187528	0.24396131852648223	204.2757953109999
1	combined_all	25	0.3960909090909091	0.12025121807459427	0.35787878787878796	0.14703997070317087	-0.20024156405913957	0.22831213003048761	207.6405852300004
2	residue_ligand	25	0.506969696969697	0.09618378251225863	0.5309090909090909	0.10216885859080738	0.009118902553872495	0.19103586984623647	31.19536744800007
2	residue_cofactor	25	0.4589696969696969	0.10195251967827025	0.43333333333333335	0.15348654361045044	-0.07435224370762951	0.21438369045781658	41.76003236500037
2	residue_residue	25	0.5418484848484849	0.08754870960449912	0.5616969696969697	0.10445073296427267	0.08364378596081407	0.17265682870896765	202.38997309000024
2	combined_all	25	0.5390303030303031	0.09462677196142544	0.5563030303030303	0.1177745507813717	0.07683604954015658	0.18355206171093258	206.4460775160005
3	residue_ligand	25	0.5034848484848484	0.09889386704486708	0.5246666666666667	0.14498260980969363	0.007204132004003426	0.19657769021410967	31.244795516000522
3	residue_cofactor	25	0.5711818181818182	0.11059859702229348	0.6265454545454545	0.12414470165202617	0.13935672883336736	0.20853619283762803	41.71337878099985
3	residue_residue	25	0.5024242424242424	0.10249578182694696	0.49793939393939396	0.16094986548003393	0.00607265558517995	0.20968028211627684	203.87796852500014
3	combined_all	25	0.488030303030303	0.11476626811174222	0.4659393939393939	0.1490481738456455	-0.02548737770033306	0.2287831190384994	205.74759523300054
