feature_set	n_candidate_features	n_outer_splits	mean_selected_features_per_outer_fold	median_selected_features_per_outer_fold	n_features_selected_at_least_once	n_features_frequency_ge_0_20	n_features_frequency_ge_0_50	n_features_frequency_ge_0_80	n_features_frequency_eq_1	maximum_selection_frequency
residue_ligand	21	25	12.0	12.0	21	21	11	4	1	1.0
residue_cofactor	83	25	20.96	20.0	77	34	12	5	0	0.96
residue_residue	3982	25	18.2	10.0	171	24	6	3	1	1.0
combined_all	4086	25	14.6	10.0	127	18	5	3	1	1.0
