feature_set	outer_split_1	outer_split_2	n_selected_split_1	n_selected_split_2	intersection_size	union_size	jaccard_similarity
residue_residue	10	19	50	10	5	55	0.09090909090909091
residue_residue	10	20	50	10	9	51	0.17647058823529413
residue_residue	10	21	50	5	3	52	0.057692307692307696
residue_residue	10	22	50	5	5	50	0.1
residue_residue	10	23	50	50	17	83	0.20481927710843373
residue_residue	10	24	50	20	12	58	0.20689655172413793
residue_residue	10	25	50	20	10	60	0.16666666666666666
residue_residue	11	12	20	10	3	27	0.1111111111111111
residue_residue	11	13	20	10	5	25	0.2
residue_residue	11	14	20	10	3	27	0.1111111111111111
residue_residue	11	15	20	10	3	27	0.1111111111111111
residue_residue	11	16	20	10	2	28	0.07142857142857142
residue_residue	11	17	20	20	4	36	0.1111111111111111
residue_residue	11	18	20	10	3	27	0.1111111111111111
residue_residue	11	19	20	10	5	25	0.2
residue_residue	11	20	20	10	4	26	0.15384615384615385
residue_residue	11	21	20	5	2	23	0.08695652173913043
residue_residue	11	22	20	5	4	21	0.19047619047619047
residue_residue	11	23	20	50	9	61	0.14754098360655737
residue_residue	11	24	20	20	5	35	0.14285714285714285
residue_residue	11	25	20	20	6	34	0.17647058823529413
residue_residue	12	13	10	10	4	16	0.25
residue_residue	12	14	10	10	1	19	0.05263157894736842
residue_residue	12	15	10	10	4	16	0.25
residue_residue	12	16	10	10	1	19	0.05263157894736842
residue_residue	12	17	10	20	5	25	0.2
residue_residue	12	18	10	10	3	17	0.17647058823529413
residue_residue	12	19	10	10	3	17	0.17647058823529413
residue_residue	12	20	10	10	4	16	0.25
residue_residue	12	21	10	5	2	13	0.15384615384615385
residue_residue	12	22	10	5	3	12	0.25
residue_residue	12	23	10	50	6	54	0.1111111111111111
residue_residue	12	24	10	20	5	25	0.2
residue_residue	12	25	10	20	4	26	0.15384615384615385
residue_residue	13	14	10	10	3	17	0.17647058823529413
residue_residue	13	15	10	10	5	15	0.3333333333333333
residue_residue	13	16	10	10	4	16	0.25
residue_residue	13	17	10	20	6	24	0.25
