feature_set	n_pairwise_comparisons	mean_jaccard	std_jaccard	median_jaccard	min_jaccard	max_jaccard
combined_all	300	0.18580240181283858	0.09258188275569616	0.165158371040724	0.034482758620689655	0.6666666666666666
residue_cofactor	300	0.33809445696052115	0.151854070845101	0.36363636363636365	0.06493506493506493	1.0
residue_ligand	300	0.47228512228512226	0.2536631332091071	0.38095238095238093	0.06666666666666667	1.0
residue_residue	300	0.17246346107135427	0.0779906541766335	0.15384615384615385	0.03773584905660377	0.42857142857142855
