feature_set	display_label	n_outer_folds	mean_balanced_accuracy	std_balanced_accuracy	mean_roc_auc_low	std_roc_auc_low	mean_mcc	std_mcc	permutation_null_mean_ba	permutation_null_std_ba	permutation_null_max_ba	n_permutations	n_null_ge_observed	permutation_p_value	dummy_mean_balanced_accuracy
residue_ligand	Residue–ligand	25	0.5828787878787879	0.11758196478200098	0.6139393939393939	0.16326065173225424	0.1662270268436803	0.23567686499147508	0.5069141414141414	0.0579509980178367	0.6233030303030302	30	3	0.1290322580645161	0.5
residue_cofactor	Residue–GTP	25	0.594030303030303	0.12231277428623953	0.6176363636363637	0.11303619287603496	0.17741587672242815	0.23129532181371584	0.4923222222222222	0.0398109489297465	0.5821212121212122	30	0	0.032258064516129	0.5
residue_residue	Residue–residue	25	0.6427878787878787	0.11859430895415962	0.7122424242424242	0.1320146277988237	0.28875900665782517	0.23452865373458695	0.4850585858585858	0.0491335862929471	0.5696363636363637	30	0	0.032258064516129	0.5
combined_all	Combined	25	0.6236060606060606	0.14491424271287773	0.6978787878787878	0.1404337861812241	0.2439222048434943	0.27922811757256405	0.4881757575757576	0.049970979450532	0.5635757575757576	30	0	0.032258064516129	0.5
