figure_id	figure_role	feature_type	n_features_shown	selection_rule	source_data	png_file	svg_file
04_residue_ligand_ranking	effect_size_ranking	residue_ligand	10	quality_pass and largest absolute Cohen's d among model-listed features	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figure_source_data/04_residue_ligand_effect_size_source.tsv	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/top10_model_residue_ligand_effect_sizes.png	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/top10_model_residue_ligand_effect_sizes.svg
04_residue_cofactor_ranking	effect_size_ranking	residue_cofactor	10	quality_pass and largest absolute Cohen's d among model-listed features	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figure_source_data/04_residue_cofactor_effect_size_source.tsv	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/top10_model_residue_cofactor_effect_sizes.png	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/top10_model_residue_cofactor_effect_sizes.svg
04_residue_residue_ranking	effect_size_ranking	residue_residue	15	quality_pass and largest absolute Cohen's d among model-listed features	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figure_source_data/04_residue_residue_effect_size_source.tsv	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/top15_model_residue_residue_effect_sizes.png	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/top15_model_residue_residue_effect_sizes.svg
04_representative_distributions	low_high_distribution	one representative per formal structural type	3	top-ranked quality-passing model-listed feature within each feature type	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figure_source_data/04_representative_feature_distribution_source.tsv	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/representative_model_feature_distributions.png	/home/yihengcai0006/yihengcai_ucl_essay_work/thesis_features_analysis/results/batch0100/figures/exploratory_structural_features/representative_model_feature_distributions.svg
