permutation_id	feature_set	n_outer_folds	mean_balanced_accuracy	std_balanced_accuracy	mean_roc_auc_low	std_roc_auc_low	mean_mcc	std_mcc	elapsed_seconds
1	residue_ligand	25	0.5418787878787878	0.10650599124368028	0.5444848484848486	0.11968648464497897	0.07596862060553479	0.21432777154203317	36.20808780599964
1	residue_cofactor	25	0.5043939393939394	0.1323038336848691	0.5166666666666667	0.1514336902226029	0.011060032642546083	0.24935901594420515	42.09810258699963
1	residue_residue	25	0.41375757575757577	0.12806628655769753	0.3741818181818182	0.15981765225164404	-0.16839884552187528	0.24396131852648223	205.82927869600007
1	combined_all	25	0.3960909090909091	0.12025121807459427	0.35787878787878796	0.14703997070317087	-0.20024156405913957	0.22831213003048761	214.1572580740003
2	residue_ligand	25	0.506969696969697	0.09618378251225863	0.5309090909090909	0.10216885859080738	0.009118902553872495	0.19103586984623647	31.55587625499993
2	residue_cofactor	25	0.4589696969696969	0.10195251967827025	0.43333333333333335	0.15348654361045044	-0.07435224370762951	0.21438369045781658	42.24333701999967
2	residue_residue	25	0.5418484848484849	0.08754870960449912	0.5616969696969697	0.10445073296427267	0.08364378596081407	0.17265682870896765	202.49219979999998
2	combined_all	25	0.5390303030303031	0.09462677196142544	0.5563030303030303	0.1177745507813717	0.07683604954015658	0.18355206171093258	207.973714664
3	residue_ligand	25	0.5034848484848484	0.09889386704486708	0.5246666666666667	0.14498260980969363	0.007204132004003426	0.19657769021410967	31.150546294999913
3	residue_cofactor	25	0.5711818181818182	0.11059859702229348	0.6265454545454545	0.12414470165202617	0.13935672883336736	0.20853619283762803	41.99938712699986
3	residue_residue	25	0.5024242424242424	0.10249578182694696	0.49793939393939396	0.16094986548003393	0.00607265558517995	0.20968028211627684	203.14368942500005
3	combined_all	25	0.488030303030303	0.11476626811174222	0.4659393939393939	0.1490481738456455	-0.02548737770033306	0.2287831190384994	209.2293896250003
4	residue_ligand	25	0.5352121212121213	0.10578859418928319	0.5658181818181819	0.1406176251339657	0.06808478777334638	0.21422868428565506	32.77230887800033
4	residue_cofactor	25	0.5644848484848485	0.07257234392342966	0.5759393939393939	0.13113307391026796	0.1285356625194463	0.14262301614943287	44.221680352000476
4	residue_residue	25	0.5307575757575758	0.13654221612007522	0.564969696969697	0.1413985741792343	0.056555154968158494	0.27264843898825863	207.782596604
4	combined_all	25	0.5363030303030303	0.11576456626520557	0.5524848484848485	0.13197909022688642	0.061665913991230115	0.22774360778470423	219.8742360010001
5	residue_ligand	25	0.5175757575757576	0.13865792320080586	0.562	0.1539929468210991	0.030842804855293914	0.2644234527814635	34.412008656999205
5	residue_cofactor	25	0.4632424242424243	0.11149328500755248	0.4063636363636364	0.12311480155448336	-0.07020416306351937	0.21693531935652188	47.03580355899976
5	residue_residue	25	0.5358484848484849	0.12864179920937885	0.5666666666666667	0.17221481663037586	0.08171011334805282	0.2680142995901512	215.47177061099956
5	combined_all	25	0.5356969696969697	0.127660004813156	0.5604242424242424	0.16504045937061107	0.0835543329803718	0.26905096732201594	226.10991031899994
6	residue_ligand	25	0.5366363636363637	0.12828703116872373	0.5763030303030303	0.14395326886874837	0.07101591154656317	0.25160736774155334	33.05496077499993
6	residue_cofactor	25	0.4714242424242424	0.13754790884202342	0.45903030303030307	0.1409243502110255	-0.047517693803477715	0.27438104748943876	46.377459081999405
6	residue_residue	25	0.5299090909090909	0.10407919192134861	0.493090909090909	0.1250949134606894	0.05856969337843247	0.20663377242267	210.88646499900096
6	combined_all	25	0.5297575757575758	0.11679706244392908	0.4967878787878788	0.1274502129457633	0.06346537686826098	0.24237152624631103	216.11345435400108
7	residue_ligand	25	0.4632121212121212	0.13901482123649975	0.4787878787878788	0.15452379032151992	-0.0773016543894403	0.273908489278786	31.357083486000192
7	residue_cofactor	25	0.47666666666666674	0.12050476210096979	0.4592121212121211	0.16517579285924106	-0.036319621578968384	0.24262329962635434	41.94646317099978
7	residue_residue	25	0.46690909090909094	0.12232575546447318	0.4124848484848485	0.1121444829795416	-0.07087500213384358	0.25532790056567123	203.89822123400154
7	combined_all	25	0.47087878787878795	0.11813973933612305	0.41721212121212126	0.11469196578492606	-0.06865360021118411	0.24536568948312562	208.38378379300048
8	residue_ligand	25	0.45412121212121215	0.10563543930006997	0.3963030303030303	0.1438756371290493	-0.09285904604538761	0.21324443767184015	31.465853462999803
8	residue_cofactor	25	0.45403030303030306	0.1125326704933934	0.3913333333333333	0.1485283383023223	-0.08876822970340001	0.2170671370195342	41.88741555100023
8	residue_residue	25	0.47396969696969704	0.11374760548376603	0.4878787878787879	0.14935454435810208	-0.04612299822263167	0.24593295339369298	203.26975369899992
8	combined_all	25	0.47115151515151527	0.11424666082758855	0.47260606060606064	0.14283864063138765	-0.051931447141272985	0.2442876824405008	209.46526899700075
9	residue_ligand	25	0.5131818181818183	0.11955363973207345	0.4978181818181818	0.12471660559464362	0.02753591458678426	0.2389101922369471	31.480904545998783
9	residue_cofactor	25	0.44733333333333336	0.13269531405750204	0.4306666666666667	0.11851261655032312	-0.10330891836971848	0.25354202569740775	42.19044457599921
9	residue_residue	25	0.5477878787878787	0.13239054884209814	0.5538787878787879	0.1519199642683999	0.0914604964811934	0.2557087170313348	202.3338456090005
9	combined_all	25	0.5531515151515152	0.12968893053060948	0.5539999999999999	0.1479116176921245	0.10120212094688247	0.25092591334864167	209.9233599650015
10	residue_ligand	25	0.4480303030303031	0.11471666630979001	0.4516363636363637	0.13983305341829175	-0.09846312101439125	0.22026744969086612	31.408339010000418
10	residue_cofactor	25	0.4181212121212121	0.10408488984698859	0.3577575757575757	0.11902567159620937	-0.16648628659673112	0.2059982492797143	41.80043687500074
10	residue_residue	25	0.5185757575757575	0.13658601396294082	0.5092121212121212	0.1594014045569137	0.03070837098115858	0.2683644616377247	202.72485653799959
10	combined_all	25	0.5289090909090909	0.12988239600563298	0.5297575757575759	0.14984233117452195	0.057623774562704295	0.2535812740240682	207.9388895709999
11	residue_ligand	25	0.46536363636363637	0.0966412821709804	0.4546060606060606	0.11555325984863764	-0.06812890767181226	0.18248921336256851	31.476702627000122
11	residue_cofactor	25	0.4956060606060606	0.10189464345819613	0.5157575757575757	0.13027880324457738	0.0002310032648700247	0.20857723805550182	42.03859322899916
11	residue_residue	25	0.4655151515151515	0.08166960649493948	0.4663636363636364	0.10685936594130922	-0.06694317733109965	0.1633170455662314	204.27965555900118
11	combined_all	25	0.4608484848484848	0.08492953605357854	0.47115151515151515	0.11125147240937422	-0.07523987529752436	0.16905858666340687	209.5639417909988
12	residue_ligand	25	0.4402424242424242	0.11160758856878948	0.41769696969696973	0.15343151725341517	-0.11341114822402025	0.21165625472796737	31.84446491699964
12	residue_cofactor	25	0.5085454545454546	0.1303258803667093	0.5120606060606061	0.1444776485817098	0.016911101297577075	0.2472742743649793	41.94454498599953
12	residue_residue	25	0.5295454545454545	0.09606312530552477	0.5561818181818181	0.1394405389829146	0.059170473705357676	0.19921624756653636	203.41145844699895
12	combined_all	25	0.5305151515151515	0.09412085357694787	0.5536363636363636	0.14453888979862112	0.06263351800081259	0.19607934495992177	207.5740763670001
